127.0.0.1 - - [01/May/2019:11:49:53 +0900] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [01/May/2019:11:49:55 +0900] "GET /BasicJSP/04_imp/pageTest1.jsp HTTP/1.1" 200 202
0:0:0:0:0:0:0:1 - - [01/May/2019:11:51:08 +0900] "GET /BasicJSP/04_imp/pageTest1.jsp HTTP/1.1" 200 202
0:0:0:0:0:0:0:1 - - [01/May/2019:11:51:24 +0900] "GET /BasicJSP/04_imp/pageTest1.jsp HTTP/1.1" 200 203
10.96.122.181 - - [01/May/2019:11:56:09 +0900] "GET /DevMgmt/ProductConfigDyn.xml HTTP/1.1" 404 1106
10.96.122.181 - - [01/May/2019:11:56:09 +0900] "GET /DevMgmt/DiscoveryTree.xml HTTP/1.1" 404 1103
10.96.122.181 - - [01/May/2019:11:56:12 +0900] "GET /DevMgmt/ProductConfigDyn.xml HTTP/1.1" 404 1106
10.96.122.181 - - [01/May/2019:11:56:12 +0900] "GET /DevMgmt/ProductConfigDyn.xml HTTP/1.1" 404 1106
10.96.122.181 - - [01/May/2019:11:56:12 +0900] "GET /DevMgmt/DiscoveryTree.xml HTTP/1.1" 404 1103
10.96.122.181 - - [01/May/2019:11:56:12 +0900] "GET /DevMgmt/DiscoveryTree.xml HTTP/1.1" 404 1103
