127.0.0.1 - - [12/May/2019:18:12:18 +0900] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [12/May/2019:18:12:20 +0900] "GET /BasicJSP/Project/layout.jsp HTTP/1.1" 500 3214
0:0:0:0:0:0:0:1 - - [12/May/2019:18:12:51 +0900] "GET /BasicJSP/Project/layout.jsp HTTP/1.1" 500 3214
0:0:0:0:0:0:0:1 - - [12/May/2019:18:14:12 +0900] "GET /BasicJSP/Project/layout.jsp HTTP/1.1" 500 3214
0:0:0:0:0:0:0:1 - - [12/May/2019:18:23:59 +0900] "GET /BasicJSP/Project/layout.jsp HTTP/1.1" 500 3214
0:0:0:0:0:0:0:1 - - [12/May/2019:18:25:03 +0900] "GET /BasicJSP/Project/layout.jsp HTTP/1.1" 500 2963
0:0:0:0:0:0:0:1 - - [12/May/2019:18:26:11 +0900] "GET /BasicJSP/Project/layout.jsp HTTP/1.1" 500 3214
0:0:0:0:0:0:0:1 - - [12/May/2019:18:26:20 +0900] "GET /BasicJSP/Project/layout.jsp HTTP/1.1" 500 3214
0:0:0:0:0:0:0:1 - - [12/May/2019:18:27:09 +0900] "GET /BasicJSP/Project/layout.jsp HTTP/1.1" 200 837
0:0:0:0:0:0:0:1 - - [12/May/2019:18:28:38 +0900] "GET /BasicJSP/Project/layout.jsp HTTP/1.1" 200 837
